date,day_of_week,weekday,holiday
2015-01-01,thursday,1,1
2015-01-02,friday,1,1
2015-01-03,saturday,0,0
2015-01-04,sunday,0,0
2015-01-05,monday,1,0
2015-01-06,tuesday,1,0
2015-01-07,wednesday,1,0
2015-01-08,thursday,1,0
2015-01-09,friday,1,0
2015-01-10,saturday,0,0
2015-01-11,sunday,0,0
2015-01-12,monday,1,0
2015-01-13,tuesday,1,0
2015-01-14,wednesday,1,0
2015-01-15,thursday,1,0
2015-01-16,friday,1,0
2015-01-17,saturday,0,0
2015-01-18,sunday,0,0
2015-01-19,monday,1,1
2015-01-20,tuesday,1,0
2015-01-21,wednesday,1,0
2015-01-22,thursday,1,0
2015-01-23,friday,1,0
2015-01-24,saturday,0,0
2015-01-25,sunday,0,0
2015-01-26,monday,1,0
2015-01-27,tuesday,1,0
2015-01-28,wednesday,1,0
2015-01-29,thursday,1,0
2015-01-30,friday,1,0
2015-01-31,saturday,0,0
2015-02-01,sunday,0,0
2015-02-02,monday,1,0
2015-02-03,tuesday,1,0
2015-02-04,wednesday,1,0
2015-02-05,thursday,1,0
2015-02-06,friday,1,0
2015-02-07,saturday,0,0
2015-02-08,sunday,0,0
2015-02-09,monday,1,0
2015-02-10,tuesday,1,0
2015-02-11,wednesday,1,0
2015-02-12,thursday,1,0
2015-02-13,friday,1,0
2015-02-14,saturday,0,0
2015-02-15,sunday,0,0
2015-02-16,monday,1,1
2015-02-17,tuesday,1,0
2015-02-18,wednesday,1,0
2015-02-19,thursday,1,0
2015-02-20,friday,1,0
2015-02-21,saturday,0,0
2015-02-22,sunday,0,0
2015-02-23,monday,1,0
2015-02-24,tuesday,1,0
2015-02-25,wednesday,1,0
2015-02-26,thursday,1,0
2015-02-27,friday,1,0
2015-02-28,saturday,0,0
2015-03-01,sunday,0,0
2015-03-02,monday,1,0
2015-03-03,tuesday,1,0
2015-03-04,wednesday,1,0
2015-03-05,thursday,1,0
2015-03-06,friday,1,0
2015-03-07,saturday,0,0
2015-03-08,sunday,0,0
2015-03-09,monday,1,0
2015-03-10,tuesday,1,0
2015-03-11,wednesday,1,0
2015-03-12,thursday,1,0
2015-03-13,friday,1,0
2015-03-14,saturday,0,0
2015-03-15,sunday,0,0
2015-03-16,monday,1,0
2015-03-17,tuesday,1,0
2015-03-18,wednesday,1,0
2015-03-19,thursday,1,0
2015-03-20,friday,1,0
2015-03-21,saturday,0,0
2015-03-22,sunday,0,0
2015-03-23,monday,1,0
2015-03-24,tuesday,1,0
2015-03-25,wednesday,1,0
2015-03-26,thursday,1,0
2015-03-27,friday,1,0
2015-03-28,saturday,0,0
2015-03-29,sunday,0,0
2015-03-30,monday,1,0
2015-03-31,tuesday,1,0
2015-04-01,wednesday,1,0
2015-04-02,thursday,1,0
2015-04-03,friday,1,0
2015-04-04,saturday,0,0
2015-04-05,sunday,0,0
2015-04-06,monday,1,0
2015-04-07,tuesday,1,0
2015-04-08,wednesday,1,0
2015-04-09,thursday,1,0
2015-04-10,friday,1,0
2015-04-11,saturday,0,0
2015-04-12,sunday,0,0
2015-04-13,monday,1,0
2015-04-14,tuesday,1,0
2015-04-15,wednesday,1,0
2015-04-16,thursday,1,0
2015-04-17,friday,1,0
2015-04-18,saturday,0,0
2015-04-19,sunday,0,0
2015-04-20,monday,1,0
2015-04-21,tuesday,1,0
2015-04-22,wednesday,1,0
2015-04-23,thursday,1,0
2015-04-24,friday,1,0
2015-04-25,saturday,0,0
2015-04-26,sunday,0,0
2015-04-27,monday,1,0
2015-04-28,tuesday,1,0
2015-04-29,wednesday,1,0
2015-04-30,thursday,1,0
2015-05-01,friday,1,0
2015-05-02,saturday,0,0
2015-05-03,sunday,0,0
2015-05-04,monday,1,0
2015-05-05,tuesday,1,0
2015-05-06,wednesday,1,0
2015-05-07,thursday,1,0
2015-05-08,friday,1,0
2015-05-09,saturday,0,0
2015-05-10,sunday,0,0
2015-05-11,monday,1,0
2015-05-12,tuesday,1,0
2015-05-13,wednesday,1,0
2015-05-14,thursday,1,0
2015-05-15,friday,1,0
2015-05-16,saturday,0,0
2015-05-17,sunday,0,0
2015-05-18,monday,1,0
2015-05-19,tuesday,1,0
2015-05-20,wednesday,1,0
2015-05-21,thursday,1,0
2015-05-22,friday,1,0
2015-05-23,saturday,0,0
2015-05-24,sunday,0,0
2015-05-25,monday,1,1
2015-05-26,tuesday,1,0
2015-05-27,wednesday,1,0
2015-05-28,thursday,1,0
2015-05-29,friday,1,0
2015-05-30,saturday,0,0
2015-05-31,sunday,0,0
2015-06-01,monday,1,0
2015-06-02,tuesday,1,0
2015-06-03,wednesday,1,0
2015-06-04,thursday,1,0
2015-06-05,friday,1,0
2015-06-06,saturday,0,0
2015-06-07,sunday,0,0
2015-06-08,monday,1,0
2015-06-09,tuesday,1,0
2015-06-10,wednesday,1,0
2015-06-11,thursday,1,0
2015-06-12,friday,1,0
2015-06-13,saturday,0,0
2015-06-14,sunday,0,0
2015-06-15,monday,1,0
2015-06-16,tuesday,1,0
2015-06-17,wednesday,1,0
2015-06-18,thursday,1,0
2015-06-19,friday,1,0
2015-06-20,saturday,0,0
2015-06-21,sunday,0,0
2015-06-22,monday,1,0
2015-06-23,tuesday,1,0
2015-06-24,wednesday,1,0
2015-06-25,thursday,1,0
2015-06-26,friday,1,0
2015-06-27,saturday,0,0
2015-06-28,sunday,0,0
2015-06-29,monday,1,0
2015-06-30,tuesday,1,0
2015-07-01,wednesday,1,0
2015-07-02,thursday,1,0
2015-07-03,friday,1,1
2015-07-04,saturday,0,0
2015-07-05,sunday,0,0
2015-07-06,monday,1,0
2015-07-07,tuesday,1,0
2015-07-08,wednesday,1,0
2015-07-09,thursday,1,0
2015-07-10,friday,1,0
2015-07-11,saturday,0,0
2015-07-12,sunday,0,0
2015-07-13,monday,1,0
2015-07-14,tuesday,1,0
2015-07-15,wednesday,1,0
2015-07-16,thursday,1,0
2015-07-17,friday,1,0
2015-07-18,saturday,0,0
2015-07-19,sunday,0,0
2015-07-20,monday,1,0
2015-07-21,tuesday,1,0
2015-07-22,wednesday,1,0
2015-07-23,thursday,1,0
2015-07-24,friday,1,0
2015-07-25,saturday,0,0
2015-07-26,sunday,0,0
2015-07-27,monday,1,0
2015-07-28,tuesday,1,0
2015-07-29,wednesday,1,0
2015-07-30,thursday,1,0
2015-07-31,friday,1,0
2015-08-01,saturday,0,0
2015-08-02,sunday,0,0
2015-08-03,monday,1,0
2015-08-04,tuesday,1,0
2015-08-05,wednesday,1,0
2015-08-06,thursday,1,0
2015-08-07,friday,1,0
2015-08-08,saturday,0,0
2015-08-09,sunday,0,0
2015-08-10,monday,1,0
2015-08-11,tuesday,1,0
2015-08-12,wednesday,1,0
2015-08-13,thursday,1,0
2015-08-14,friday,1,0
2015-08-15,saturday,0,0
2015-08-16,sunday,0,0
2015-08-17,monday,1,0
2015-08-18,tuesday,1,0
2015-08-19,wednesday,1,0
2015-08-20,thursday,1,0
2015-08-21,friday,1,0
2015-08-22,saturday,0,0
2015-08-23,sunday,0,0
2015-08-24,monday,1,0
2015-08-25,tuesday,1,0
2015-08-26,wednesday,1,0
2015-08-27,thursday,1,0
2015-08-28,friday,1,0
2015-08-29,saturday,0,0
2015-08-30,sunday,0,0
2015-08-31,monday,1,0
2015-09-01,tuesday,1,0
2015-09-02,wednesday,1,0
2015-09-03,thursday,1,0
2015-09-04,friday,1,0
2015-09-05,saturday,0,0
2015-09-06,sunday,0,0
2015-09-07,monday,1,1
2015-09-08,tuesday,1,0
2015-09-09,wednesday,1,0
2015-09-10,thursday,1,0
2015-09-11,friday,1,0
2015-09-12,saturday,0,0
2015-09-13,sunday,0,0
2015-09-14,monday,1,0
2015-09-15,tuesday,1,0
2015-09-16,wednesday,1,0
2015-09-17,thursday,1,0
2015-09-18,friday,1,0
2015-09-19,saturday,0,0
2015-09-20,sunday,0,0
2015-09-21,monday,1,0
2015-09-22,tuesday,1,0
2015-09-23,wednesday,1,0
2015-09-24,thursday,1,0
2015-09-25,friday,1,0
2015-09-26,saturday,0,0
2015-09-27,sunday,0,0
2015-09-28,monday,1,0
2015-09-29,tuesday,1,0
2015-09-30,wednesday,1,0
2015-10-01,thursday,1,0
2015-10-02,friday,1,0
2015-10-03,saturday,0,0
2015-10-04,sunday,0,0
2015-10-05,monday,1,0
2015-10-06,tuesday,1,0
2015-10-07,wednesday,1,0
2015-10-08,thursday,1,0
2015-10-09,friday,1,0
2015-10-10,saturday,0,0
2015-10-11,sunday,0,0
2015-10-12,monday,1,1
2015-10-13,tuesday,1,0
2015-10-14,wednesday,1,0
2015-10-15,thursday,1,0
2015-10-16,friday,1,0
2015-10-17,saturday,0,0
2015-10-18,sunday,0,0
2015-10-19,monday,1,0
2015-10-20,tuesday,1,0
2015-10-21,wednesday,1,0
2015-10-22,thursday,1,0
2015-10-23,friday,1,0
2015-10-24,saturday,0,0
2015-10-25,sunday,0,0
2015-10-26,monday,1,0
2015-10-27,tuesday,1,0
2015-10-28,wednesday,1,0
2015-10-29,thursday,1,0
2015-10-30,friday,1,0
2015-10-31,saturday,0,0
2015-11-01,sunday,0,0
2015-11-02,monday,1,0
2015-11-03,tuesday,1,0
2015-11-04,wednesday,1,0
2015-11-05,thursday,1,0
2015-11-06,friday,1,0
2015-11-07,saturday,0,0
2015-11-08,sunday,0,0
2015-11-09,monday,1,0
2015-11-10,tuesday,1,0
2015-11-11,wednesday,1,1
2015-11-12,thursday,1,0
2015-11-13,friday,1,0
2015-11-14,saturday,0,0
2015-11-15,sunday,0,0
2015-11-16,monday,1,0
2015-11-17,tuesday,1,0
2015-11-18,wednesday,1,0
2015-11-19,thursday,1,0
2015-11-20,friday,1,0
2015-11-21,saturday,0,0
2015-11-22,sunday,0,0
2015-11-23,monday,1,0
2015-11-24,tuesday,1,0
2015-11-25,wednesday,1,0
2015-11-26,thursday,1,1
2015-11-27,friday,1,0
2015-11-28,saturday,0,0
2015-11-29,sunday,0,0
2015-11-30,monday,1,0
2015-12-01,tuesday,1,0
2015-12-02,wednesday,1,0
2015-12-03,thursday,1,0
2015-12-04,friday,1,0
2015-12-05,saturday,0,0
2015-12-06,sunday,0,0
2015-12-07,monday,1,0
2015-12-08,tuesday,1,0
2015-12-09,wednesday,1,0
2015-12-10,thursday,1,0
2015-12-11,friday,1,0
2015-12-12,saturday,0,0
2015-12-13,sunday,0,0
2015-12-14,monday,1,0
2015-12-15,tuesday,1,0
2015-12-16,wednesday,1,0
2015-12-17,thursday,1,0
2015-12-18,friday,1,0
2015-12-19,saturday,0,0
2015-12-20,sunday,0,0
2015-12-21,monday,1,0
2015-12-22,tuesday,1,0
2015-12-23,wednesday,1,0
2015-12-24,thursday,1,0
2015-12-25,friday,1,1
2015-12-26,saturday,0,0
2015-12-27,sunday,0,0
2015-12-28,monday,1,0
2015-12-29,tuesday,1,0
2015-12-30,wednesday,1,0
2015-12-31,thursday,1,0
